session,target,contrast_modulation,amplitude,presence,response_presence,reaction_time
1,4,0,1.386,0,0,0.5261
1,4,0,1.386,0,0,0.5075
1,4,0,1.386,0,1,0.553
1,4,0,1.386,1,1,0.7543
1,4,0,1.386,1,0,0.4478
1,4,0,1.386,0,0,0.6531
1,4,0,1.386,1,1,0.5342
1,4,0,1.386,0,1,0.5317
1,4,0,1.386,0,0,0.4969
1,4,0,1.386,1,1,0.5064
1,4,0,1.386,1,0,0.4716
1,5,0,1.386,1,1,0.6162
1,5,0,1.386,1,0,0.5846
1,5,0,1.386,1,1,0.9999
1,5,0,1.386,1,1,0.544
1,5,0,1.386,0,0,0.6254
1,5,0,1.386,0,1,0.5468
1,5,0,1.386,1,1,0.6005
1,5,0,1.386,1,0,0.586
1,5,0,1.386,1,1,0.7315
1,5,0,1.386,0,1,0.6733
1,5,0,1.386,0,1,0.5944
1,5,0,1.386,1,1,0.5322
1,5,0,1.386,0,1,0.7299
1,5,0,1.386,0,0,0.6673
1,5,0,1.386,0,1,0.8129
1,5,0,1.386,0,0,0.9146
1,5,0,1.386,1,0,0.6921
1,5,0,1.386,1,1,0.5336
1,5,0,1.386,1,0,0.5914
1,5,0,1.386,0,0,0.5608
1,5,0,1.386,0,0,0.5028
1,5,0,1.386,0,1,0.6961
1,5,0,1.386,1,0,0.5375
1,5,0,1.386,0,0,0.4632
1,5,0,1.386,0,1,0.5606
1,5,0,1.386,1,0,0.5782
1,5,0,1.386,0,0,0.5199
1,5,0,1.386,0,1,0.6654
1,5,0,1.386,1,0,0.5229
1,5,0,1.386,1,0,0.5124
1,5,1,0.77,0,1,0.8103
1,5,1,0.77,1,1,0.4647
1,5,1,0.77,1,0,0.441
1,5,1,0.77,0,0,0.5065
1,5,1,0.77,1,0,0.5211
1,5,1,0.77,1,0,0.6097
1,5,1,0.77,0,0,0.5311
1,5,1,0.77,0,0,0.5618
1,5,1,0.77,0,0,0.6823
1,5,1,0.77,1,1,0.6358
1,5,1,0.77,0,1,0.5073
1,5,1,0.77,1,0,0.4511
1,5,1,0.77,0,0,0.4524
1,5,1,0.77,1,0,0.4545
1,5,1,0.77,1,0,0.5329
1,5,1,0.77,1,0,0.4988
1,5,1,0.77,0,0,0.5128
1,5,1,0.77,0,0,0.4946
1,5,1,0.77,1,0,0.5553
1,5,1,0.77,0,0,0.5055
1,5,1,0.77,1,1,0.4494
1,5,1,0.77,0,0,0.4473
1,5,1,0.77,0,0,0.7604
1,5,1,0.77,0,0,0.5377
1,5,1,0.77,1,1,0.7286
1,5,1,0.77,1,1,0.7691
1,5,1,0.77,1,0,0.5144
1,5,1,0.77,0,0,0.4654
1,5,1,0.77,1,0,0.5218
1,5,1,0.77,0,0,0.4912
1,5,1,0.77,0,0,0.5688
1,5,1,0.77,0,0,0.614
1,5,1,0.77,0,0,0.5794
1,5,1,0.77,1,0,0.613
1,5,1,0.77,1,1,0.6423
1,5,1,0.77,1,0,0.5799
1,5,1,0.77,1,1,0.5132
1,5,1,0.77,0,1,0.6588
1,5,1,0.77,0,0,0.5121
1,5,1,0.77,1,1,0.8496
1,5,1,0.77,0,1,0.6229
1,5,1,0.77,0,0,0.7045
1,5,1,0.77,1,1,0.6538
1,5,1,0.77,1,0,0.618
1,5,1,0.77,0,0,0.7532
1,5,1,0.77,1,0,0.6644
1,5,1,0.77,1,1,0.512
1,5,1,0.77,0,1,0.6313
1,5,1,0.77,1,0,0.6383
1,5,1,0.77,1,0,0.5179
1,5,1,0.77,1,1,0.4819
1,5,1,0.77,1,1,0.4952
1,5,1,0.77,0,0,0.5288
1,5,1,0.77,0,0,0.51
1,5,1,0.77,1,1,0.4158
1,5,1,0.77,0,0,0.493
1,5,1,0.77,1,1,0.4305
1,5,1,0.77,0,0,0.6199
1,5,1,0.77,0,0,0.5575
1,5,1,0.77,0,0,0.5698
1,5,0,1.386,1,0,0.7462
1,5,0,1.386,0,0,0.4268
1,5,0,1.386,0,0,0.5842
1,5,0,1.386,1,0,0.5015
1,5,0,1.386,1,1,0.7028
1,5,0,1.386,1,1,0.6202
1,5,0,1.386,1,0,0.5055
1,5,0,1.386,0,1,0.5149
1,5,0,1.386,1,1,0.5923
1,5,0,1.386,1,1,0.6057
1,5,0,1.386,0,0,0.4911
1,5,0,1.386,1,1,0.6764
1,5,0,1.386,0,1,0.6299
1,5,0,1.386,1,1,0.3714
1,5,0,1.386,0,0,0.4765
1,5,0,1.386,1,1,0.5221
1,5,0,1.386,0,1,0.4873
1,5,0,1.386,0,1,0.5606
1,5,0,1.386,1,1,0.414
1,5,0,1.386,0,0,0.4275
1,5,0,1.386,0,1,0.6009
1,5,0,1.386,1,1,0.4496
1,5,0,1.386,1,1,0.4634
1,5,0,1.386,1,0,0.6047
1,5,0,1.386,0,1,0.5862
1,5,0,1.386,0,0,0.5633
1,5,0,1.386,0,0,0.7207
1,5,0,1.386,0,0,0.5103
1,5,0,1.386,0,0,0.5354
1,5,0,1.386,1,0,0.5127
1,1,0,4.4082,1,0,0.6652
1,1,0,4.4082,1,1,0.3956
1,1,0,4.4082,0,0,0.5092
1,1,0,4.4082,1,1,0.4306
1,1,0,4.4082,0,1,0.428
1,1,0,4.4082,0,0,0.3695
1,1,0,4.4082,0,0,0.5471
1,1,0,4.4082,0,1,0.4887
1,1,0,4.4082,1,0,0.5587
1,1,0,4.4082,0,0,0.656
1,1,0,4.4082,1,0,0.7694
1,1,0,4.4082,0,0,0.6792
1,1,0,4.4082,1,0,0.6006
1,1,0,4.4082,0,0,0.506
1,1,0,4.4082,0,0,0.5598
1,1,0,4.4082,0,0,0.5613
1,1,0,4.4082,1,1,0.5788
1,1,0,4.4082,1,0,0.4244
1,1,0,4.4082,0,0,0.442
1,1,0,4.4082,1,0,0.5396
1,1,0,4.4082,1,0,0.4492
1,1,0,4.4082,0,0,0.5944
1,1,0,4.4082,1,1,0.4361
1,1,0,4.4082,0,1,0.7619
1,1,0,4.4082,1,0,0.423
1,1,0,4.4082,1,0,0.4726
1,1,0,4.4082,0,0,0.5103
1,1,0,4.4082,0,0,0.58
1,1,0,4.4082,1,1,0.4214
1,1,0,4.4082,1,0,0.5552
1,1,1,2.5988,1,1,0.5721
1,1,1,2.5988,0,1,0.5607
1,1,1,2.5988,1,1,0.434
1,1,1,2.5988,1,1,0.5622
1,1,1,2.5988,1,1,0.421
1,1,1,2.5988,0,0,0.4706
1,1,1,2.5988,1,1,0.456
1,1,1,2.5988,1,1,0.4753
1,1,1,2.5988,0,1,0.6114
1,1,1,2.5988,1,1,0.3889
1,1,1,2.5988,0,0,0.4202
1,1,1,2.5988,1,1,0.508
1,1,1,2.5988,1,1,0.4295
1,1,1,2.5988,0,0,0.5414
1,1,1,2.5988,1,0,0.4688
1,1,1,2.5988,0,0,0.7261
1,1,1,2.5988,0,1,0.5823
1,1,1,2.5988,1,0,0.7172
1,1,1,2.5988,0,0,0.5909
1,1,1,2.5988,1,0,0.5751
1,1,1,2.5988,1,1,0.39
1,1,1,2.5988,0,0,0.5996
1,1,1,2.5988,1,1,0.6638
1,1,1,2.5988,0,0,0.5269
1,1,1,2.5988,0,1,0.5559
1,1,1,2.5988,0,0,0.4911
1,1,1,2.5988,0,0,0.4512
1,1,1,2.5988,0,0,0.5528
1,1,1,2.5988,1,0,0.5374
1,1,1,2.5988,0,0,0.5602
1,1,1,2.5988,0,0,0.5058
1,1,1,2.5988,1,0,0.6107
1,1,1,2.5988,1,1,0.4726
1,1,1,2.5988,1,1,0.4463
1,1,1,2.5988,0,0,0.5437
1,1,1,2.5988,1,1,0.4652
1,1,1,2.5988,1,1,0.487
1,1,1,2.5988,0,0,0.4084
1,1,1,2.5988,0,0,0.5221
1,1,1,2.5988,1,1,0.7633
1,1,1,2.5988,0,1,0.5613
1,1,1,2.5988,0,0,0.5786
1,1,1,2.5988,0,0,0.6642
1,1,1,2.5988,0,0,0.5538
1,1,1,2.5988,1,1,0.5073
1,1,1,2.5988,0,0,0.6498
1,1,1,2.5988,0,1,0.5623
1,1,1,2.5988,0,0,0.4679
1,1,1,2.5988,1,1,0.6657
1,1,1,2.5988,1,1,0.5028
1,1,1,2.5988,1,1,0.5819
1,1,1,2.5988,1,1,0.478
1,1,1,2.5988,0,0,0.5317
1,1,1,2.5988,1,0,0.5011
1,1,1,2.5988,1,1,0.6264
1,1,1,2.5988,0,0,0.4443
1,1,1,2.5988,1,0,0.4939
1,1,1,2.5988,0,0,0.4837
1,1,1,2.5988,1,1,0.4052
1,1,1,2.5988,0,0,0.5507
1,1,0,4.4082,0,0,0.5018
1,1,0,4.4082,0,0,0.486
1,1,0,4.4082,0,0,0.5103
1,1,0,4.4082,1,1,0.4931
1,1,0,4.4082,1,0,0.5266
1,1,0,4.4082,1,1,0.6632
1,1,0,4.4082,0,0,0.5813
1,1,0,4.4082,0,1,0.4668
1,1,0,4.4082,1,1,0.5225
1,1,0,4.4082,0,0,0.5054
1,1,0,4.4082,1,1,0.3748
1,1,0,4.4082,1,0,0.5578
1,1,0,4.4082,1,1,0.4614
1,1,0,4.4082,1,0,0.4588
1,1,0,4.4082,0,0,0.4722
1,1,0,4.4082,0,0,0.4654
1,1,0,4.4082,0,0,0.367
1,1,0,4.4082,0,0,0.3803
1,1,0,4.4082,1,0,0.4854
1,1,0,4.4082,1,1,0.4188
1,1,0,4.4082,1,0,0.6083
1,1,0,4.4082,0,0,0.8194
1,1,0,4.4082,1,0,0.5146
1,1,0,4.4082,1,0,0.5762
1,1,0,4.4082,0,1,0.6529
1,1,0,4.4082,0,0,0.379
1,1,0,4.4082,0,0,0.4884
1,1,0,4.4082,0,0,0.4479
1,1,0,4.4082,1,1,0.3991
1,1,0,4.4082,1,0,0.4283
1,2,0,3.388,0,0,0.713
1,2,0,3.388,1,1,0.5917
1,2,0,3.388,1,0,0.5933
1,2,0,3.388,0,1,0.6108
1,2,0,3.388,1,1,0.896
1,2,0,3.388,1,0,0.7897
1,2,0,3.388,0,0,0.6312
1,2,0,3.388,1,1,0.573
1,2,0,3.388,0,1,0.6906
