session,target,contrast_modulation,amplitude,presence,response_presence,reaction_time
1,3,0,2.464,0,0,0.4026
1,3,0,2.464,0,0,0.4841
1,3,0,2.464,0,0,0.3879
1,3,0,2.464,1,0,0.3793
1,3,1,1.54,0,0,0.8241
1,3,1,1.54,0,0,0.5302
1,3,1,1.54,1,1,0.3975
1,3,1,1.54,1,1,0.8652
1,3,1,1.54,1,0,0.6683
1,3,1,1.54,0,0,0.496
1,3,1,1.54,1,1,0.443
1,3,1,1.54,1,0,0.4309
1,3,1,1.54,0,0,0.3613
1,3,1,1.54,1,1,0.4778
1,3,1,1.54,1,1,0.3606
1,3,1,1.54,1,0,0.3165
1,3,1,1.54,0,0,0.4076
1,3,1,1.54,1,1,1.0
1,3,1,1.54,0,0,0.6303
1,3,1,1.54,1,1,0.5545
1,3,1,1.54,0,0,0.485
1,3,1,1.54,0,1,0.9053
1,3,1,1.54,0,0,0.788
1,3,1,1.54,1,1,0.4792
1,3,1,1.54,0,0,0.4139
1,3,1,1.54,0,0,0.3837
1,3,1,1.54,0,0,0.6848
1,3,1,1.54,1,1,0.3504
1,3,1,1.54,0,0,0.4919
1,3,1,1.54,1,0,0.7334
1,3,1,1.54,0,0,0.3948
1,3,1,1.54,0,0,0.5243
1,3,1,1.54,1,0,0.7295
1,3,1,1.54,1,1,0.4754
1,3,1,1.54,1,1,0.4489
1,3,1,1.54,0,0,0.3798
1,3,1,1.54,1,0,0.3814
1,3,1,1.54,1,0,0.4589
1,3,1,1.54,0,0,0.4602
1,3,1,1.54,0,0,0.3775
1,3,1,1.54,1,1,0.3792
1,3,1,1.54,0,0,0.4084
1,3,1,1.54,0,0,0.3301
1,3,1,1.54,1,1,0.3433
1,3,1,1.54,0,0,0.3291
1,3,1,1.54,1,0,0.3742
1,3,1,1.54,0,0,0.3918
1,3,1,1.54,0,0,0.3729
1,3,1,1.54,0,0,0.5508
1,3,1,1.54,0,0,0.4837
1,3,1,1.54,1,1,0.4057
1,3,1,1.54,1,1,0.7225
1,3,1,1.54,1,1,0.4045
1,3,1,1.54,0,0,0.388
1,3,1,1.54,1,1,0.4236
1,3,1,1.54,1,1,0.3931
1,3,1,1.54,0,0,0.4542
1,3,1,1.54,0,0,0.4242
1,3,1,1.54,1,0,0.4375
1,3,1,1.54,1,1,0.3431
1,3,1,1.54,1,1,0.4517
1,3,1,1.54,0,0,0.454
1,3,1,1.54,1,0,0.5462
1,3,1,1.54,0,0,0.3729
1,3,0,2.464,0,0,0.6236
1,3,0,2.464,1,0,0.6036
1,3,0,2.464,1,0,0.9426
1,3,0,2.464,0,1,0.4588
1,3,0,2.464,1,0,0.3016
1,3,0,2.464,1,1,0.4728
1,3,0,2.464,1,0,0.4125
1,3,0,2.464,0,0,0.3915
1,3,0,2.464,0,1,0.4115
1,3,0,2.464,0,0,0.4223
1,3,0,2.464,0,0,0.3623
1,3,0,2.464,0,1,0.4208
1,3,0,2.464,0,0,0.3132
1,3,0,2.464,0,0,0.4039
1,3,0,2.464,1,0,0.7121
1,3,0,2.464,0,0,0.5624
1,3,0,2.464,1,1,0.6791
1,3,0,2.464,0,0,0.5459
1,3,0,2.464,1,0,0.6778
1,3,0,2.464,0,1,0.74
1,3,0,2.464,1,0,0.5986
1,3,0,2.464,1,1,1.0
1,3,0,2.464,1,1,0.678
1,3,0,2.464,1,0,0.5695
1,3,0,2.464,1,0,0.4045
1,3,0,2.464,1,1,0.7444
1,3,0,2.464,1,1,0.5699
1,3,0,2.464,0,1,0.8872
1,3,0,2.464,0,0,0.5141
1,3,0,2.464,0,0,0.886
1,4,0,1.386,1,0,0.5661
1,4,0,1.386,1,0,0.9129
1,4,0,1.386,1,0,0.505
1,4,0,1.386,0,0,0.5547
1,4,0,1.386,0,0,0.6497
1,4,0,1.386,1,0,0.6578
1,4,0,1.386,1,0,0.6112
1,4,0,1.386,1,0,0.5464
1,4,0,1.386,1,0,0.5704
1,4,0,1.386,0,0,0.428
1,4,0,1.386,1,0,0.7317
1,4,0,1.386,1,0,0.755
1,4,0,1.386,1,1,0.7407
1,4,0,1.386,0,0,0.6605
1,4,0,1.386,1,0,0.5558
1,4,0,1.386,0,0,0.6692
1,4,0,1.386,1,1,0.6538
1,4,0,1.386,0,0,0.5965
1,4,0,1.386,0,0,0.5179
1,4,0,1.386,0,1,0.5662
1,4,0,1.386,0,0,0.605
1,4,0,1.386,1,0,0.8456
1,4,0,1.386,1,0,0.4522
1,4,0,1.386,0,1,0.6457
1,4,0,1.386,0,1,0.615
1,4,0,1.386,0,0,0.3809
1,4,0,1.386,0,0,0.4144
1,4,0,1.386,0,0,0.3998
1,4,0,1.386,1,0,0.4856
1,4,0,1.386,0,0,0.375
1,4,1,0.924,1,1,0.4948
1,4,1,0.924,1,0,0.9104
1,4,1,0.924,1,0,0.7877
1,4,1,0.924,1,0,0.477
1,4,1,0.924,0,0,0.4664
1,4,1,0.924,0,0,0.8598
1,4,1,0.924,0,0,0.5774
1,4,1,0.924,0,0,0.5067
1,4,1,0.924,1,0,0.4964
1,4,1,0.924,0,1,0.9999
1,4,1,0.924,1,0,0.5913
1,4,1,0.924,0,0,0.8489
1,4,1,0.924,1,0,0.7183
1,4,1,0.924,0,0,0.6398
1,4,1,0.924,0,0,0.509
1,4,1,0.924,1,0,1.0
1,4,1,0.924,0,0,0.652
1,4,1,0.924,1,0,0.4776
1,4,1,0.924,0,0,0.9708
1,4,1,0.924,1,1,0.4235
1,4,1,0.924,1,1,0.8821
1,4,1,0.924,1,0,0.5596
1,4,1,0.924,0,1,1.0
1,4,1,0.924,0,1,0.5265
1,4,1,0.924,0,0,0.464
1,4,1,0.924,1,0,0.4774
1,4,1,0.924,0,1,0.7509
1,4,1,0.924,0,0,0.6042
1,4,1,0.924,1,1,0.7657
1,4,1,0.924,1,1,0.843
1,4,1,0.924,0,0,0.7335
1,4,1,0.924,1,0,0.3585
1,4,1,0.924,1,0,0.5159
1,4,1,0.924,0,0,0.5976
1,4,1,0.924,0,0,0.931
1,4,1,0.924,0,1,0.4363
1,4,1,0.924,1,1,0.6257
1,4,1,0.924,1,0,0.3552
1,4,1,0.924,1,0,0.4325
1,4,1,0.924,0,0,0.4022
1,4,1,0.924,1,0,0.9432
1,4,1,0.924,0,1,0.4171
1,4,1,0.924,0,0,0.8939
1,4,1,0.924,1,1,0.7202
1,4,1,0.924,0,0,0.5729
1,4,1,0.924,1,0,0.655
1,4,1,0.924,1,1,0.5393
1,4,1,0.924,1,0,0.5258
1,4,1,0.924,1,0,0.4421
1,4,1,0.924,1,1,0.6613
1,4,1,0.924,0,1,0.4983
1,4,1,0.924,1,0,0.4632
1,4,1,0.924,1,0,0.7374
1,4,1,0.924,0,0,0.5739
1,4,1,0.924,1,0,0.4641
1,4,1,0.924,0,1,0.3484
1,4,1,0.924,0,0,0.7832
1,4,1,0.924,0,0,0.4918
1,4,1,0.924,0,0,0.3822
1,4,1,0.924,0,1,0.5705
1,4,0,1.386,0,0,0.5597
1,4,0,1.386,0,0,0.5333
1,4,0,1.386,0,1,0.4493
1,4,0,1.386,1,0,0.4044
1,4,0,1.386,0,0,0.3525
1,4,0,1.386,0,0,0.4033
1,4,0,1.386,0,0,0.319
1,4,0,1.386,1,0,0.4662
1,4,0,1.386,1,1,0.3014
1,4,0,1.386,1,0,0.385
1,4,0,1.386,0,0,0.3804
1,4,0,1.386,1,1,1.0
1,4,0,1.386,0,0,0.3629
1,4,0,1.386,1,0,0.8789
1,4,0,1.386,1,1,0.394
1,4,0,1.386,0,0,0.4937
1,4,0,1.386,1,1,0.5206
1,4,0,1.386,1,0,0.3966
1,4,0,1.386,0,1,0.4866
1,4,0,1.386,0,1,0.4831
1,4,0,1.386,1,0,0.3693
1,4,0,1.386,0,0,0.8988
1,4,0,1.386,1,0,0.3683
1,4,0,1.386,1,0,0.7476
1,4,0,1.386,0,1,0.3669
1,4,0,1.386,0,0,0.2978
1,4,0,1.386,1,1,0.9999
1,4,0,1.386,1,1,0.537
1,4,0,1.386,1,0,0.3649
1,4,0,1.386,0,0,0.36
1,5,0,1.386,1,0,0.6036
1,5,0,1.386,0,1,0.3802
1,5,0,1.386,1,1,0.4699
1,5,0,1.386,1,0,0.4074
1,5,0,1.386,0,0,0.453
1,5,0,1.386,1,0,0.3507
1,5,0,1.386,0,0,0.4481
1,5,0,1.386,1,1,0.3978
1,5,0,1.386,0,0,0.3913
1,5,0,1.386,0,0,0.4088
1,5,0,1.386,1,0,0.4389
1,5,0,1.386,0,0,0.72
1,5,0,1.386,0,0,0.4015
1,5,0,1.386,0,1,0.4631
1,5,0,1.386,0,0,0.3767
1,5,0,1.386,0,0,0.8419
1,5,0,1.386,1,0,0.3924
1,5,0,1.386,1,1,0.3854
1,5,0,1.386,1,0,0.771
1,5,0,1.386,1,0,0.481
1,5,0,1.386,1,1,0.4418
1,5,0,1.386,1,1,0.553
1,5,0,1.386,0,0,0.4171
1,5,0,1.386,0,0,0.3866
1,5,0,1.386,0,0,0.5298
1,5,0,1.386,0,0,0.4577
1,5,0,1.386,1,0,0.4593
1,5,0,1.386,1,0,0.4267
1,5,0,1.386,1,0,0.4505
1,5,0,1.386,0,0,0.6278
1,5,1,0.77,0,0,0.572
1,5,1,0.77,0,1,0.5689
1,5,1,0.77,0,0,0.4704
1,5,1,0.77,0,1,0.648
1,5,1,0.77,0,1,0.5173
1,5,1,0.77,1,0,0.423
1,5,1,0.77,1,1,0.3401
1,5,1,0.77,1,0,0.39
1,5,1,0.77,1,0,0.4349
1,5,1,0.77,0,0,0.5007
1,5,1,0.77,1,0,0.4497
1,5,1,0.77,1,1,0.4035
1,5,1,0.77,0,0,0.4324
1,5,1,0.77,1,1,0.3545
1,5,1,0.77,0,0,0.3353
1,5,1,0.77,0,0,0.3212
1,5,1,0.77,1,1,0.3497
1,5,1,0.77,1,1,0.3201
1,5,1,0.77,1,0,0.4607
1,5,1,0.77,0,0,0.3283
1,5,1,0.77,1,1,0.341
1,5,1,0.77,0,1,0.4342
1,5,1,0.77,1,0,0.4517
1,5,1,0.77,1,1,0.8328
1,5,1,0.77,1,0,0.387
1,5,1,0.77,0,0,0.4155
1,5,1,0.77,0,0,0.3697
1,5,1,0.77,0,0,0.4142
1,5,1,0.77,0,0,0.6246
1,5,1,0.77,1,0,0.4769
1,5,1,0.77,0,0,0.6529
1,5,1,0.77,1,0,0.6327
1,5,1,0.77,0,0,0.7798
1,5,1,0.77,0,0,0.7273
1,5,1,0.77,0,1,0.8108
1,5,1,0.77,0,0,0.6783
1,5,1,0.77,1,1,0.9697
1,5,1,0.77,1,0,0.7246
1,5,1,0.77,0,0,0.6007
1,5,1,0.77,0,0,0.5956
1,5,1,0.77,1,1,0.7595
1,5,1,0.77,0,1,0.6101
1,5,1,0.77,0,0,0.5985
1,5,1,0.77,1,0,0.545
1,5,1,0.77,1,1,0.6454
1,5,1,0.77,1,1,0.656
1,5,1,0.77,1,0,0.5963
1,5,1,0.77,1,1,0.9743
1,5,1,0.77,1,0,0.7392
1,5,1,0.77,0,0,0.8171
1,5,1,0.77,0,0,0.6117
1,5,1,0.77,0,1,0.5037
1,5,1,0.77,1,0,0.5788
1,5,1,0.77,1,1,0.6147
1,5,1,0.77,1,1,0.6961
1,5,1,0.77,0,0,0.5495
1,5,1,0.77,0,0,0.8872
1,5,1,0.77,0,0,0.5484
1,5,1,0.77,1,0,0.5822
1,5,1,0.77,1,1,0.5953
1,5,0,1.386,0,0,0.5907
1,5,0,1.386,1,0,0.671
1,5,0,1.386,1,1,0.5564
1,5,0,1.386,0,0,0.59
1,5,0,1.386,0,0,0.6032
1,5,0,1.386,0,0,0.5887
1,5,0,1.386,0,0,0.6824
1,5,0,1.386,0,1,0.5719
1,5,0,1.386,0,0,0.4092
1,5,0,1.386,1,0,0.7628
1,5,0,1.386,1,1,0.5357
1,5,0,1.386,0,0,0.3776
1,5,0,1.386,1,0,0.9349
1,5,0,1.386,1,0,0.6486
1,5,0,1.386,0,0,0.5335
1,5,0,1.386,0,0,0.6315
1,5,0,1.386,0,0,0.6607
1,5,0,1.386,1,1,0.6143
1,5,0,1.386,0,0,0.547
1,5,0,1.386,1,1,0.6063
1,5,0,1.386,1,1,0.6351
1,5,0,1.386,0,0,0.6803
1,5,0,1.386,1,0,0.7139
1,5,0,1.386,1,1,0.5032
1,5,0,1.386,1,1,0.4248
1,5,0,1.386,1,0,0.2943
1,5,0,1.386,0,0,0.5995
1,5,0,1.386,1,0,0.6445
1,5,0,1.386,1,1,0.9664
1,5,0,1.386,0,1,0.3555
1,1,0,4.4082,0,1,0.8417
1,1,0,4.4082,0,0,0.3996
1,1,0,4.4082,1,0,0.6678
1,1,0,4.4082,0,0,0.4304
1,1,0,4.4082,1,1,0.4272
1,1,0,4.4082,0,0,0.4412
1,1,0,4.4082,1,0,0.8545
1,1,0,4.4082,1,1,0.4081
1,1,0,4.4082,1,1,0.6454
1,1,0,4.4082,0,1,0.5232
1,1,0,4.4082,1,0,0.5364
1,1,0,4.4082,0,1,0.4262
1,1,0,4.4082,0,1,0.4874
1,1,0,4.4082,1,1,0.585
1,1,0,4.4082,1,0,0.4063
1,1,0,4.4082,0,0,0.5999
1,1,0,4.4082,1,1,0.4851
1,1,0,4.4082,1,1,0.3589
1,1,0,4.4082,0,1,0.4201
1,1,0,4.4082,0,0,0.5976
1,1,0,4.4082,0,1,0.5952
1,1,0,4.4082,0,0,0.4847
1,1,0,4.4082,0,0,0.5622
1,1,0,4.4082,0,0,0.5796
1,1,0,4.4082,1,1,0.4489
1,1,0,4.4082,1,0,0.4943
1,1,0,4.4082,1,0,0.9707
1,1,0,4.4082,1,1,0.5572
1,1,0,4.4082,0,0,0.6973
1,1,0,4.4082,1,1,0.5443
1,1,1,2.5988,0,1,0.6085
1,1,1,2.5988,1,1,0.4927
1,1,1,2.5988,1,1,0.6542
1,1,1,2.5988,0,0,0.4914
1,1,1,2.5988,1,0,1.0
1,1,1,2.5988,0,0,0.5223
1,1,1,2.5988,0,1,0.4718
1,1,1,2.5988,0,0,0.5009
1,1,1,2.5988,1,1,0.4385
1,1,1,2.5988,1,1,0.7123
1,1,1,2.5988,0,0,0.4577
1,1,1,2.5988,0,1,0.455
1,1,1,2.5988,1,0,0.5046
1,1,1,2.5988,0,1,0.486
1,1,1,2.5988,0,0,0.3913
1,1,1,2.5988,0,0,0.5647
1,1,1,2.5988,1,1,0.4865
1,1,1,2.5988,1,0,0.5638
1,1,1,2.5988,0,1,0.6133
1,1,1,2.5988,1,1,0.4986
1,1,1,2.5988,1,0,0.4043
1,1,1,2.5988,1,1,0.4495
1,1,1,2.5988,1,1,0.4829
1,1,1,2.5988,0,0,0.5125
1,1,1,2.5988,1,1,0.4821
1,1,1,2.5988,0,1,0.9114
1,1,1,2.5988,1,0,0.4927
1,1,1,2.5988,0,0,0.7462
1,1,1,2.5988,1,1,0.4115
1,1,1,2.5988,0,0,0.493
1,1,1,2.5988,1,1,0.9999
1,1,1,2.5988,1,0,0.5567
1,1,1,2.5988,0,0,0.4558
1,1,1,2.5988,0,1,0.3956
1,1,1,2.5988,1,1,0.4709
1,1,1,2.5988,1,1,0.6186
1,1,1,2.5988,0,0,0.4671
1,1,1,2.5988,0,0,0.4372
1,1,1,2.5988,1,1,0.6896
1,1,1,2.5988,0,0,0.8884
1,1,1,2.5988,0,0,0.5817
1,1,1,2.5988,1,0,0.8713
1,1,1,2.5988,0,0,0.5004
1,1,1,2.5988,1,0,0.7742
1,1,1,2.5988,1,1,0.5313
1,1,1,2.5988,0,0,0.4371
1,1,1,2.5988,0,0,0.4823
1,1,1,2.5988,0,0,0.4999
1,1,1,2.5988,0,0,0.4971
1,1,1,2.5988,0,0,0.4829
1,1,1,2.5988,1,1,0.4319
1,1,1,2.5988,1,1,0.5618
1,1,1,2.5988,1,1,0.5099
1,1,1,2.5988,1,0,0.3369
1,1,1,2.5988,0,0,0.4453
1,1,1,2.5988,1,1,0.3995
1,1,1,2.5988,0,0,0.4544
1,1,1,2.5988,1,1,0.3941
1,1,1,2.5988,1,0,0.9999
1,1,1,2.5988,0,0,0.8934
1,1,0,4.4082,0,0,0.4462
1,1,0,4.4082,1,0,0.7474
1,1,0,4.4082,0,1,0.4226
1,1,0,4.4082,1,1,0.7303
1,1,0,4.4082,0,0,0.3958
1,1,0,4.4082,1,0,0.5852
1,1,0,4.4082,0,0,0.4338
1,1,0,4.4082,1,0,0.4038
1,1,0,4.4082,0,0,0.448
1,1,0,4.4082,1,1,0.919
1,1,0,4.4082,1,0,0.4843
1,1,0,4.4082,1,1,0.422
1,1,0,4.4082,1,0,0.4346
1,1,0,4.4082,1,0,0.5327
1,1,0,4.4082,1,1,0.3219
1,1,0,4.4082,1,0,0.356
1,1,0,4.4082,0,0,0.3528
1,1,0,4.4082,0,0,0.4826
1,1,0,4.4082,0,0,0.4146
1,1,0,4.4082,0,0,0.5457
1,1,0,4.4082,0,0,0.398
1,1,0,4.4082,1,1,0.9999
1,1,0,4.4082,0,0,0.4447
1,1,0,4.4082,0,0,0.4954
1,1,0,4.4082,1,1,0.4112
1,1,0,4.4082,1,1,0.4302
1,1,0,4.4082,1,1,0.4915
1,1,0,4.4082,0,0,0.4569
1,1,0,4.4082,0,1,0.3946
1,1,0,4.4082,0,0,0.3959
1,2,0,3.388,0,1,0.5455
1,2,0,3.388,1,1,0.5546
1,2,0,3.388,0,0,0.38
1,2,0,3.388,0,0,0.5138
1,2,0,3.388,1,0,0.4512
1,2,0,3.388,1,0,0.4685
1,2,0,3.388,0,1,0.5224
1,2,0,3.388,0,0,0.5079
1,2,0,3.388,1,1,0.3972
1,2,0,3.388,0,0,0.691
